Word,Upvote,Link,Comment,Follower,AnswerSum
82,1,1,0,41,601
53,2,0,1,360,17
20,1,1,1,342,94
392,0,0,0,120,125
244,0,0,0,532,"3,262"
303,2,0,1,103,102
229,276,1,1,"14,071",476
804,52,0,1,"3,257",270
67,2,1,0,5,31
36,8,0,1,30,58
344,19,0,1,31,10
36,4,1,0,18,1
24,11,0,0,"3,153",163
174,0,0,0,"1,206","1,613"
52,0,0,0,120,125
9,0,0,0,468,35
60,0,0,0,497,594
7,6,1,0,609,377
118,2,0,0,166,"1,431"
100,1,0,0,532,"3,262"
450,5,0,0,497,594
65,2,0,1,115,1
67,0,1,0,29,31
42,2,0,0,256,323
87,3,0,0,480,260
186,0,0,0,238,155
92,3,0,0,92,179
126,0,1,0,163,168
7,0,0,0,212,56
41,2,0,1,167,40
56,473,0,1,75,35
45,91,0,1,456,382
55,48,1,0,96,16
56,8,0,1,"5,331",333
313,3.2k,0,1,"29,268","1,294"
138,624,1,1,76,7
265,579,1,0,179,58
209,160,1,0,92,179
199,135,1,1,12,73
199,441,1,1,389,56
130,77,0,1,"1,097",118
280,167,0,1,277,308
315,83,1,0,331,93
114,23,1,1,14,2
158,30,0,1,497,594
46,106,1,0,686,20
64,33,0,0,15,6
234,82,0,0,179,58
19,326,0,1,"5,726",942
147,28,1,0,8,0
48,0,1,0,59,71
12,2,0,0,84,62
29,5k,0,1,,
21,2,0,1,"4,449",162
83,2,0,1,573,297
3,1,1,0,128,7
21,0,1,0,65,105
103,0,1,0,120,125
32,0,0,0,"3,245","1,089"
853,20,1,1,148,113
210,63,0,1,"26,858",873
150,4,0,0,3,37
205,5,0,0,72,86
504,4,0,1,1,11
5,2,0,0,80,21
14,5,0,0,114,5
67,24,0,0,"3,087",540
83,10,0,1,"5,684",457
150,3,1,1,515,282
96,6,0,0,"3,070",197
107,37,0,1,"2,524",257
539,7,0,0,163,84
850,678,1,1,"6,328",354
102,136,1,1,495,95
434,48,0,0,495,38
65,12,0,0,118,31
12,5,0,0,64,1
288,258,0,1,467,13
846,41,0,1,286,19
768,392,1,1,761,96
76,24,1,0,"3,087",540
168,5,1,0,208,13
76,6,1,0,692,63
3,1,0,1,24,44
132,5,1,0,577,96
