Word,Upvote,Link,Comment,Follower,AnswerSum,useful
986,66,1,1,"7,598",104,yes
286,15,1,0,110,39,yes
137,1,0,0,"1,644","1,079",yes
106,6,0,0,85,61,yes
629,4,1,0,55,9,yes
138,0,0,0,22,5,yes
101,1,0,0,130,184,yes
342,152,0,1,"9,643",32,yes
210,5,0,0,22,61,yes
35,0,1,0,169,91,no
13,3,0,0,231,102,no
9,1,1,0,"89,243",903,no
12,0,1,0,353,158,no
13,0,1,0,"3,453","3,181",no
34,0,0,0,26,63,yes
91,1,0,0,178,264,yes
184,9,0,1,740,283,yes
122,12,1,0,296,101,yes
220,11,1,0,237,4,no
142,2,0,0,141,81,yes
80,4,1,0,12,2,no
330,2,0,0,26,63,yes
33,4,0,1,"4,124","2,908",no
47,0,1,0,36,10,no
128,0,0,1,82,617,yes
131,1,1,0,56,14,no
36,1,0,0,259,102,yes
21,1,0,0,6,0,yes
41,1,0,1,576,280,yes
113,1,0,1,1,74,no
462,44,0,0,35,10,no
492,6,0,0,312,467,no
50,2,1,0,58,177,no
21,3,1,0,88,475,no
116,27,0,1,"4,261",689,yes
42,1,0,0,358,173,yes
47,121,0,1,"16,665",537,no
220,189,0,1,"29,269","1,294",no
82,54,0,0,"4,124","2,908",yes
184,10,0,0,657,314,no
244,59,0,0,"15,786",946,no
159,17,0,0,"3,871",521,no
86,50,0,1,"6,412","2,473",no
88,37,1,0,"26,858",873,no
52,9,0,0,76,15,no
218,65,1,1,834,9,no
86,24,0,0,"3,453","3,181",no
44,9,1,0,"1,913",314,yes
75,3,0,0,120,15,no
37,6,0,0,909,531,no
91,14,0,1,23,18,no
78,9,0,0,48,12,no
36,13,0,0,113,161,no
100,8,1,0,3,1,no
66,1,0,0,645,23,no
46,10,0,0,289,2,no
17,5,0,0,"5,609","2,828",no
48,5,0,0,184,1,no
74,11,0,1,35,57,no
13,19,0,1,"4,454",97,no
154,7,0,0,51,6,no
244,1,0,0,216,47,no
60,2,0,0,1,6,no
19,0,0,0,1,1,no
41,2,1,1,358,173,yes
206,0,1,0,345,74,yes
366,144,1,1,"18,216","1,213",no
38,25,1,1,"9,643",32,no
50,1,1,0,3,1,yes
67,0,0,0,,,yes
122,1,0,0,111,56,yes
